epochMs,queueSize,queueCapacity,droppedOverflow,exportFailures,exportTimeouts
1781143997896,1,32,0,1,0
1781144002923,9,32,139,73,0
1781144007936,0,32,171,164,0
1781144012951,4,32,187,255,0
1781144017965,9,32,207,346,0
1781144022974,29,32,217,437,0
1781144027974,5,32,236,529,0
1781144032986,18,32,244,620,0
1781144038002,25,32,254,711,0
1781144043013,3,32,260,803,0
1781144048020,11,32,265,894,0
1781144053032,28,32,271,985,0
1781144058037,9,32,276,1077,0
1781144063050,28,32,295,1168,0
1781144068052,28,32,295,1260,0
1781144073063,11,32,298,1352,0
1781144078069,14,32,306,1443,0
1781144083085,6,32,308,1535,0
1781144088086,2,32,313,1626,0
1781144093098,16,32,315,1717,0
1781144098112,28,32,322,1808,0
1781144103138,30,32,324,1900,0
1781144108161,31,32,327,1992,0
1781144113173,24,32,327,2084,0
1781144118176,30,32,327,2175,0
1781144123181,24,32,332,2267,0
1781144128191,5,32,337,2359,0
1781144133196,20,32,348,2450,0
1781144138208,2,32,349,2542,0
1781144143223,22,32,351,2633,0
1781144148230,29,32,352,2724,0
1781144153244,9,32,363,2816,0
1781144158254,5,32,364,2908,0
1781144163256,4,32,366,3000,0
1781144168279,24,32,369,3091,0
1781144173291,22,32,370,3183,0
1781144178301,2,32,370,3275,0
1781144183316,18,32,372,3366,0
1781144188331,26,32,373,3457,0
1781144193341,20,32,376,3549,0
1781144198350,1,32,378,3641,0
1781144203355,18,32,382,3732,0
1781144208366,31,32,383,3823,0
1781144213377,9,32,383,3915,0
1781144218381,11,32,383,4006,0
1781144223399,19,32,384,4097,0
1781144228408,3,32,385,4189,0
1781144233423,22,32,386,4280,0
1781144238439,19,32,389,4372,0
1781144243443,29,32,392,4463,0
1781144248458,3,32,393,4555,0
1781144253475,27,32,396,4646,0
1781144258488,13,32,397,4738,0
1781144263496,23,32,398,4829,0
1781144268509,5,32,401,4916,0
1781144273532,22,32,404,4960,0
1781144278535,14,32,407,5006,0
1781144283544,14,32,408,5049,0
1781144288547,22,32,408,5059,0
1781144293557,15,32,408,5070,0
1781144298571,30,32,408,5080,0
1781144303577,18,32,408,5090,0
1781144308592,14,32,408,5100,0
1781144313598,6,32,408,5110,0
1781144318599,3,32,408,5121,0
1781144323612,4,32,408,5130,0
1781144328628,30,32,408,5139,0
1781144333630,6,32,409,5149,0
1781144338661,31,32,409,5159,0
1781144343669,2,32,409,5170,0
1781144348679,21,32,409,5179,0
1781144353693,8,32,409,5189,0
1781144358705,10,32,410,5199,0
1781144363718,24,32,410,5209,0
1781144368726,15,32,411,5220,0
1781144373737,4,32,411,5230,0
1781144378746,14,32,411,5239,0
1781144383747,27,32,411,5249,0
1781144388754,6,32,411,5260,0
1781144393770,7,32,411,5270,0
1781144398773,25,32,412,5280,0
1781144403775,29,32,412,5290,0
1781144408781,30,32,412,5301,0
1781144413789,11,32,412,5312,0
1781144418805,2,32,412,5322,0
