epochMs,queueSize,queueCapacity,droppedOverflow,exportFailures,exportTimeouts
1781144900409,0,0,0,0,0
1781144905425,0,0,0,0,0
1781144910429,0,0,0,0,0
1781144915438,0,0,0,0,0
1781144920449,0,0,0,0,0
1781144925451,0,0,0,0,0
1781144930468,0,0,0,0,0
1781144935484,0,0,0,0,0
1781144940491,0,0,0,0,0
1781144945505,0,0,0,0,0
1781144950507,0,0,0,0,0
1781144955522,0,0,0,0,0
1781144960532,0,0,0,0,0
1781144965546,0,0,0,0,0
1781144970548,0,0,0,0,0
1781144975564,0,0,0,0,0
1781144980571,0,0,0,0,0
1781144985578,0,0,0,0,0
1781144990593,0,0,0,0,0
1781144995607,0,0,0,0,0
1781145000616,0,0,0,0,0
1781145005629,0,0,0,0,0
1781145010657,0,0,0,0,0
1781145015669,0,0,0,0,0
1781145020682,0,0,0,0,0
1781145025696,0,0,0,0,0
1781145030709,0,0,0,0,0
1781145035726,0,0,0,0,0
1781145040741,0,0,0,0,0
1781145045764,0,0,0,0,0
1781145050775,0,0,0,0,0
1781145055787,0,0,0,0,0
1781145060803,0,0,0,0,0
1781145065821,0,0,0,0,0
1781145070830,0,0,0,0,0
1781145075848,0,0,0,0,0
1781145080854,0,0,0,0,0
1781145085864,0,0,0,0,0
1781145090868,0,0,0,0,0
1781145095875,0,0,0,0,0
1781145100885,0,0,0,0,0
1781145105895,0,0,0,0,0
1781145110897,0,0,0,0,0
1781145115916,0,0,0,0,0
1781145120938,0,0,0,0,0
1781145125949,0,0,0,0,0
1781145130964,0,0,0,0,0
1781145135976,0,0,0,0,0
1781145140991,0,0,0,0,0
1781145146005,0,0,0,0,0
1781145151024,0,0,0,0,0
1781145156033,0,0,0,0,0
1781145161048,0,0,0,0,0
1781145166059,0,0,0,0,0
1781145171069,0,0,0,0,0
1781145176081,0,0,0,0,0
1781145181099,0,0,0,0,0
1781145186106,0,0,0,0,0
1781145191113,0,0,0,0,0
1781145196127,0,0,0,0,0
1781145201133,0,0,0,0,0
1781145206139,0,0,0,0,0
1781145211156,0,0,0,0,0
1781145216162,0,0,0,0,0
1781145221171,0,0,0,0,0
1781145226178,0,0,0,0,0
1781145231191,0,0,0,0,0
1781145236197,0,0,0,0,0
1781145241203,0,0,0,0,0
1781145246206,0,0,0,0,0
1781145251213,0,0,0,0,0
1781145256220,0,0,0,0,0
1781145261231,0,0,0,0,0
1781145266236,0,0,0,0,0
1781145271245,0,0,0,0,0
1781145276253,0,0,0,0,0
1781145281257,0,0,0,0,0
1781145286271,0,0,0,0,0
1781145291287,0,0,0,0,0
1781145296303,0,0,0,0,0
1781145301319,0,0,0,0,0
1781145306336,0,0,0,0,0
1781145311348,0,0,0,0,0
1781145316349,0,0,0,0,0
1781145321371,0,0,0,0,0
