epochMs,queueSize,queueCapacity,droppedOverflow,exportFailures,exportTimeouts
1781143092733,1,32,0,1,0
1781143097754,20,32,107,53,0
1781143102758,15,32,126,144,0
1781143107772,30,32,139,235,0
1781143112789,18,32,154,327,0
1781143117796,20,32,171,418,0
1781143122798,29,32,180,509,0
1781143127804,5,32,191,601,0
1781143132811,22,32,196,692,0
1781143137819,19,32,203,783,0
1781143142836,11,32,209,875,0
1781143147849,1,32,217,967,0
1781143152877,4,32,220,1059,0
1781143157882,28,32,221,1150,0
1781143162884,13,32,242,1241,0
1781143167888,21,32,248,1332,0
1781143172896,3,32,253,1424,0
1781143177903,15,32,253,1515,0
1781143182916,10,32,256,1607,0
1781143187925,6,32,258,1699,0
1781143192942,2,32,258,1791,0
1781143197950,10,32,259,1882,0
1781143202954,29,32,259,1973,0
1781143207958,5,32,265,2065,0
1781143212976,22,32,269,2156,0
1781143217992,15,32,272,2248,0
1781143223008,10,32,273,2340,0
1781143228014,3,32,274,2432,0
1781143233020,21,32,278,2523,0
1781143238035,13,32,278,2615,0
1781143243047,20,32,279,2707,0
1781143248051,24,32,280,2798,0
1781143253052,9,32,282,2890,0
1781143258070,21,32,288,2981,0
1781143263093,13,32,289,3073,0
1781143268107,20,32,291,3164,0
1781143273122,13,32,295,3256,0
1781143278138,12,32,295,3348,0
1781143283162,15,32,298,3440,0
1781143288178,19,32,300,3531,0
1781143293185,23,32,300,3623,0
1781143298193,11,32,301,3715,0
1781143303200,24,32,303,3806,0
1781143308220,11,32,304,3898,0
1781143313226,22,32,305,3989,0
1781143318229,8,32,305,4081,0
1781143323244,21,32,306,4172,0
1781143328253,7,32,308,4264,0
1781143333260,25,32,309,4355,0
1781143338272,13,32,311,4447,0
1781143343286,27,32,311,4538,0
1781143348290,11,32,314,4630,0
1781143353304,9,32,315,4722,0
1781143358317,18,32,316,4813,0
1781143363329,22,32,321,4899,0
1781143368335,1,32,328,4946,0
1781143373349,8,32,331,4993,0
1781143378356,17,32,332,5033,0
1781143383364,31,32,332,5043,0
1781143388366,18,32,332,5053,0
1781143393380,28,32,332,5062,0
1781143398398,8,32,332,5073,0
1781143403407,19,32,332,5082,0
1781143408416,2,32,332,5092,0
1781143413424,18,32,332,5102,0
1781143418436,12,32,332,5112,0
1781143423452,21,32,332,5122,0
1781143428465,9,32,332,5133,0
1781143433476,3,32,332,5143,0
1781143438487,9,32,332,5152,0
1781143443490,6,32,332,5162,0
1781143448499,31,32,332,5171,0
1781143453507,16,32,332,5182,0
1781143458516,24,32,332,5192,0
1781143463522,9,32,332,5203,0
1781143468540,6,32,333,5213,0
1781143473542,15,32,333,5223,0
1781143478553,24,32,333,5233,0
1781143483563,17,32,333,5244,0
1781143488569,27,32,333,5254,0
1781143493585,19,32,333,5263,0
1781143498612,17,32,333,5273,0
1781143503616,21,32,333,5283,0
1781143508629,11,32,333,5293,0
1781143513636,9,32,333,5302,0
